run,seed,fulps_final_table_acc,base_final_table_acc,fulps_final_coverage,base_final_coverage,fulps_final_perstate,base_final_perstate,fulps_stable_tacc,base_stable_tacc,fulps_unstable_tacc,base_unstable_tacc,stable_fraction,mean_contra_rate
1,42,0.7282445430755615,0.7270460724830627,0.026353124529123306,0.026353124529123306,0.792631983757019,0.7600542306900024,0.7267342209815979,0.7266411781311035,0.7289803624153137,0.7272433638572693,0.3276,0.080944
2,43,0.7284320592880249,0.7270718812942505,0.029282812029123306,0.029282812029123306,0.7678929567337036,0.7326344847679138,0.7267717719078064,0.7266777753829956,0.729008138179779,0.7272086143493652,0.2576,0.092608
3,44,0.72845858335495,0.7271281480789185,0.028721094131469727,0.028721094131469727,0.7813321352005005,0.7463499307632446,0.7267657518386841,0.726655900478363,0.7291313409805298,0.7273157835006714,0.2844,0.095856
4,45,0.7284695506095886,0.727092981338501,0.02921171858906746,0.02921171858906746,0.7753434777259827,0.7405461072921753,0.7267271280288696,0.7266504764556885,0.7291311025619507,0.727260947227478,0.2752,0.09408000000000001
5,46,0.7284179925918579,0.7270515561103821,0.02886328101158142,0.02886328101158142,0.7817442417144775,0.7461241483688354,0.7267716526985168,0.7266793251037598,0.7290825843811035,0.7272018194198608,0.2876,0.098688
6,47,0.7283898591995239,0.7270922064781189,0.02889062464237213,0.02889062464237213,0.7707551121711731,0.7368859052658081,0.7267613410949707,0.7266823649406433,0.7289836406707764,0.7272416353225708,0.2672,0.08998400000000001
7,48,0.728447675704956,0.7270882725715637,0.029826562851667404,0.029826562851667404,0.767322838306427,0.7312523126602173,0.726804256439209,0.7266865372657776,0.72898268699646,0.7272190451622009,0.2456,0.094208
8,49,0.727956235408783,0.7270218729972839,0.02537578158080578,0.02537578158080578,0.7912609577178955,0.7666584849357605,0.7266993522644043,0.7266537547111511,0.7286620140075684,0.727228581905365,0.3596,0.07209600000000001
9,50,0.7280750274658203,0.7270593643188477,0.0250859372317791,0.0250859372317791,0.7915250062942505,0.7641393542289734,0.7267337441444397,0.7266470789909363,0.728861391544342,0.7273011207580566,0.3696,0.071104
10,51,0.7282679677009583,0.7270570397377014,0.026944531127810478,0.026944531127810478,0.7852484583854675,0.7523031234741211,0.7268333435058594,0.7267215251922607,0.7289258241653442,0.7272108793258667,0.3144,0.08630399999999999
11,52,0.7284039258956909,0.7271031141281128,0.028128907084465027,0.028128907084465027,0.7835673689842224,0.7487770318984985,0.7267482280731201,0.7266525626182556,0.7290401458740234,0.7272762656211853,0.2776,0.094192
12,53,0.7284406423568726,0.7271085977554321,0.028410155326128006,0.028410155326128006,0.7773005962371826,0.7427090406417847,0.7267832159996033,0.7266921401023865,0.729095458984375,0.7272731065750122,0.2832,0.09110399999999999
13,54,0.7278344035148621,0.7269929647445679,0.024516405537724495,0.024516405537724495,0.7884536385536194,0.765733540058136,0.7267346978187561,0.7266497015953064,0.7284486293792725,0.7271847128868103,0.3584,0.062592
14,55,0.7281851768493652,0.7270210981369019,0.02629062533378601,0.02629062533378601,0.7838444113731384,0.7527942657470703,0.7267571091651917,0.7266620993614197,0.7289379835128784,0.7272103428840637,0.3452,0.078416
15,56,0.728682816028595,0.7271124720573425,0.029082031920552254,0.029082031920552254,0.7867273688316345,0.7456839680671692,0.7267537713050842,0.726667582988739,0.7294707298278809,0.7272942066192627,0.29,0.10185599999999999
16,57,0.7284679412841797,0.7271312475204468,0.027985937893390656,0.027985937893390656,0.7825233936309814,0.7466606497764587,0.7268241047859192,0.7267101407051086,0.7291778326034546,0.7273131012916565,0.3016,0.089968
17,58,0.7284976840019226,0.727104663848877,0.029267968609929085,0.029267968609929085,0.7751557230949402,0.7391474843025208,0.7268623113632202,0.7267166376113892,0.7291298508644104,0.7272546887397766,0.2788,0.09724800000000001
18,59,0.7284484505653381,0.7270890474319458,0.027955468744039536,0.027955468744039536,0.7871584892272949,0.75162672996521,0.7267780900001526,0.7266625761985779,0.7291793823242188,0.7272756695747375,0.3044,0.094576
19,60,0.7283648252487183,0.7270734310150146,0.02883046865463257,0.02883046865463257,0.7792380452156067,0.7465532422065735,0.726761519908905,0.7266677021980286,0.7289723753929138,0.7272272109985352,0.2748,0.089184
20,61,0.7283546924591064,0.7270874977111816,0.02697421796619892,0.02697421796619892,0.7878116965293884,0.7538775205612183,0.7267853021621704,0.726699948310852,0.7291262745857239,0.7272780537605286,0.3296,0.086384
21,62,0.7281234264373779,0.7270452976226807,0.02685546875,0.02685546875,0.7787196636199951,0.7500168681144714,0.7267378568649292,0.7266574501991272,0.7287778854370117,0.7272285223007202,0.3208,0.076512
22,63,0.7285218834877014,0.727133572101593,0.02771562524139881,0.02771562524139881,0.7922728657722473,0.7560394406318665,0.7267706990242004,0.7266889214515686,0.729327917098999,0.7273382544517517,0.3152,0.093568
23,64,0.7285000085830688,0.7271171808242798,0.029396094381809235,0.029396094381809235,0.77642422914505,0.7411743402481079,0.7267419695854187,0.7266641855239868,0.7291215658187866,0.7272773385047913,0.2612,0.10004800000000001
24,65,0.7278257608413696,0.7269632816314697,0.02397499978542328,0.02397499978542328,0.7958781123161316,0.7718080878257751,0.7267283797264099,0.7266612648963928,0.7285440564155579,0.7271609902381897,0.3956,0.06216
25,66,0.7285031080245972,0.7270781397819519,0.030283594503998756,0.030283594503998756,0.7689294219017029,0.7322432398796082,0.7267810106277466,0.7266786098480225,0.7290140390396118,0.7271966338157654,0.2288,0.10329600000000001
26,67,0.7280804514884949,0.7270101308822632,0.025182031095027924,0.025182031095027924,0.7928938269615173,0.7647691369056702,0.7267224192619324,0.7266373634338379,0.7289342284202576,0.72724449634552,0.386,0.07336000000000001
27,68,0.7285304665565491,0.727104663848877,0.02969375066459179,0.02969375066459179,0.7680827379226685,0.7305527329444885,0.7267913222312927,0.7266785502433777,0.7290664911270142,0.7272360324859619,0.2356,0.098576
28,69,0.7280195355415344,0.7270210981369019,0.02465546876192093,0.02465546876192093,0.8037194609642029,0.7769375443458557,0.7267373204231262,0.7266678214073181,0.7288503646850586,0.7272500395774841,0.3932,0.07113599999999999
29,70,0.7284843921661377,0.7270617485046387,0.028586719185113907,0.028586719185113907,0.780681848526001,0.7436031103134155,0.7268006205558777,0.7267042994499207,0.729178786277771,0.7272091507911682,0.292,0.09446399999999999
30,71,0.728683590888977,0.7271398305892944,0.02950703166425228,0.02950703166425228,0.7823330760002136,0.7415366172790527,0.7268276214599609,0.7267127633094788,0.7293534278869629,0.7272939682006836,0.2652,0.10711999999999999
