run,seed,base_final_tacc,learn_final_tacc,gate_final_tacc,sig_final_tacc,gate_final_perstate,sig_final_perstate,cv_base_pre,cv_gate_pre,cv_sig_pre,cv_base_post,cv_gate_post,cv_sig_post,base_recovery_t,gate_recovery_t,sig_recovery_t,base_recovery_frac,gate_recovery_frac,sig_recovery_frac,mi_gate_pre,mi_sig_pre,mi_gate_post,mi_sig_post,cre_base,cre_gate,cre_sig,gate_mean_overall,sig_mean_overall,distress_mean_overall,contra_spike,gate_spike,sig_spike,grid_div_gate,grid_div_sig,stable_std,stable_gate,stable_sig
1,42,0.6005195379257202,0.620855450630188,0.6011812686920166,0.6007968783378601,0.7407172918319702,0.7339091300964355,0.08871896524923821,0.029092600829470794,0.03884063446051208,0.011613955253317956,0.010179443046650694,0.0036236689784707576,158.14891052246094,130.2888641357422,122.47893524169922,0.6489177489177489,0.907563025210084,0.9410112359550562,38.01724068067139,37.787224199031236,5.854651009315159,6.601508599729983,101.0,118.0,117.0,0.311478,0.319574,0.20177656471729277,0.03083999999999998,-0.06108000000000002,-0.07123999999999986,0.5012,0.4796,0.1736,0.9092,0.9344
2,43,0.6001155972480774,0.618694543838501,0.6012343764305115,0.5997866988182068,0.7323353290557861,0.7221270799636841,0.12451349486186059,0.03938994982144032,0.019623813197003008,0.012855667318037613,0.00353977402502508,0.0030803690979566726,165.2865753173828,130.90382385253906,125.74063110351562,0.6158826068191627,0.8914919852034525,0.9370314842578711,29.521422355044837,24.828093119619712,3.2996872885072355,9.197125744790654,101.0,142.0,144.0,0.323082,0.34382000000000007,0.18837986379861832,-0.03863999999999998,-0.04511999999999999,-0.050439999999999874,0.458,0.4676,0.1908,0.8936,0.9368
3,44,0.5996086001396179,0.6188914179801941,0.6010375022888184,0.5998547077178955,0.733649730682373,0.7277665138244629,0.21531939386508403,0.01429880156525321,0.016413044717532046,0.020889355576586704,0.00687339965807491,0.004750317733151123,164.7935028076172,123.28443908691406,122.18862915039062,0.6177489177489177,0.9400510204081632,0.9341085271317829,32.10379422225031,29.03233029104073,4.673025114262947,7.5847922790896,101.0,139.0,143.0,0.32339,0.327252,0.18802772268652915,-0.01591999999999999,-0.06740000000000002,-0.03064,0.5044,0.5068,0.1648,0.9036,0.9328
4,45,0.5988336205482483,0.6168679594993591,0.6014156341552734,0.600529670715332,0.7332526445388794,0.7305933833122253,0.21750013098595303,0.013950230891942562,0.014953721890012577,0.011301322720009045,0.0037565711115391674,0.003092950063353322,161.26275634765625,125.248046875,121.3616714477539,0.5819158460161146,0.9217877094972067,0.9467005076142132,33.197220746529446,24.646405373826052,6.904381189001693,5.797544426353109,101.0,150.0,145.0,0.337492,0.33558400000000005,0.1876062662154436,0.04715999999999998,-0.059,-0.03639999999999999,0.4716,0.502,0.2296,0.892,0.9284
5,46,0.5989062786102295,0.6175984144210815,0.6011359095573425,0.6002140641212463,0.7352103590965271,0.7265966534614563,0.07361911624235838,0.02934734406203965,0.028225104544043807,0.012343300255099887,0.006499012882637964,0.004186457191035126,164.08596801757812,131.35511779785156,127.41922760009766,0.578173719376392,0.9209694415173867,0.9198931909212283,35.83787654592659,32.34813047218206,4.858658630738318,11.041360590049067,101.0,145.0,142.0,0.327816,0.32711799999999996,0.19747250027954577,0.045200000000000046,-0.05915999999999999,-0.04111999999999988,0.4764,0.4848,0.1708,0.9104,0.936
6,47,0.599135160446167,0.6161671876907349,0.6009601354598999,0.600739061832428,0.7324140071868896,0.7278487086296082,0.09980040779634623,0.02370746163496579,0.014318887232766038,0.02144106809578878,0.004622728032923001,0.005791233854686228,167.30775451660156,121.55823516845703,127.01602935791016,0.5922840859272249,0.9357429718875502,0.9099876695437731,29.507719795670567,31.00471749565973,2.540318981015225,4.287827055482107,101.0,137.0,141.0,0.325158,0.32661,0.19795259833335876,-0.018880000000000008,-0.03960000000000008,-0.05256000000000005,0.4912,0.4968,0.2496,0.9068,0.9252
7,48,0.6004703044891357,0.6222359538078308,0.6010273694992065,0.6006015539169312,0.7291483283042908,0.724778950214386,0.10497678819046909,0.021717039460263578,0.016102352264908554,0.013640027810216122,0.003234336676346184,0.004005399711468705,160.5613555908203,125.85662841796875,126.92381286621094,0.6166231505657093,0.9127837514934289,0.9107142857142857,29.23579964764775,25.090848374969593,6.890129820613411,5.38027214848596,101.0,120.0,126.0,0.326944,0.33942999999999995,0.18951987341046334,0.05376000000000003,-0.06779999999999997,-0.06215999999999994,0.5068,0.5136,0.1312,0.9052,0.9164
8,49,0.6001468896865845,0.6235812306404114,0.6007742285728455,0.6008992195129395,0.7326648831367493,0.7302179932594299,0.09232697786667614,0.02742589736452638,0.0236725491771024,0.006761735043612602,0.003505521080416726,0.0031845687994911877,159.7249298095703,125.2493896484375,124.1927719116211,0.5700090334236676,0.902200488997555,0.9211391018619934,31.201331874735455,40.52533998623112,5.443074731882312,3.7592424852616073,129.0,102.0,102.0,0.321494,0.32556799999999997,0.201651828661561,0.06744,-0.04931999999999992,-0.054480000000000084,0.4788,0.5076,0.0956,0.9152,0.9168
9,50,0.6000632643699646,0.6198609471321106,0.6011648178100586,0.6009179949760437,0.7399420142173767,0.7383566498756409,0.08740098793504619,0.013950303954501773,0.02958281190722955,0.013472509119795004,0.004102450504222939,0.009960681810214698,159.7542266845703,127.69139099121094,130.7185821533203,0.6348241424229266,0.9007177033492823,0.8940809968847352,27.214062894583755,45.713868875306595,5.058982911840689,10.642030579107868,101.0,132.0,123.0,0.32876399999999995,0.315388,0.21622646667063236,0.023800000000000043,-0.047160000000000035,-0.045600000000000085,0.494,0.4764,0.1868,0.9208,0.926
10,51,0.5998304486274719,0.6186320185661316,0.6005312204360962,0.6010312438011169,0.734330415725708,0.7304926514625549,0.13859431685189214,0.02649282002889773,0.011670190730391088,0.019405091459111755,0.005193633813383428,0.004293179387534697,164.2752227783203,133.8732452392578,122.61843872070312,0.6387068588903452,0.8797399783315276,0.9270166453265045,35.443746406014185,23.80477220882578,5.3459502793843505,3.0846285325957745,101.0,146.0,141.0,0.307822,0.330896,0.18931343972682954,0.022400000000000003,-0.04231999999999997,-0.05464000000000002,0.5192,0.4852,0.1852,0.9284,0.9248
11,52,0.5994179844856262,0.6180523633956909,0.6010390520095825,0.5997648239135742,0.7343224883079529,0.7276344895362854,0.11301223917937671,0.012712946809027443,0.012581534495817292,0.015332968704104359,0.0048488110062144185,0.0028252348046510244,163.1306610107422,122.32026672363281,125.92964935302734,0.6110392410521777,0.9563269876819709,0.9396984924623115,24.18784499836771,18.436098799763094,6.590294127992731,4.547011363036933,101.0,145.0,141.0,0.340402,0.33915999999999996,0.18580164425075055,-0.0012800000000000034,-0.06524000000000008,-0.04747999999999991,0.5208,0.5088,0.1876,0.9084,0.9452
12,53,0.5998023152351379,0.6188242435455322,0.6003562211990356,0.6016179919242859,0.73276686668396,0.733916699886322,0.08287807642373907,0.024275723039922554,0.02321718187808447,0.018442863787290254,0.005876171254323584,0.00701336230258263,159.90362548828125,133.19305419921875,128.77972412109375,0.6114058355437666,0.8622559652928417,0.9152046783625731,43.20747763895497,34.49748508712605,12.068388865286499,5.652731576641613,163.0,131.0,137.0,0.29803599999999997,0.334024,0.19580478973686696,0.08459999999999993,-0.052559999999999996,-0.03963999999999995,0.5164,0.4876,0.2076,0.91,0.8944
13,54,0.599078893661499,0.6144461035728455,0.6010781526565552,0.6005336046218872,0.7378703355789185,0.7318359613418579,0.08779086990198372,0.021949207079955516,0.02315325345264783,0.023986168926994827,0.0057141462352741255,0.002962861001915251,165.8197479248047,131.89617919921875,124.97830963134766,0.6369098712446352,0.8883447600391773,0.9180722891566265,48.74698105886876,33.73420663252256,9.123423540543035,3.188016084680488,101.0,161.0,163.0,0.30221400000000004,0.325334,0.2089254742860794,0.047920000000000004,-0.050600000000000034,-0.022159999999999958,0.4952,0.4956,0.3008,0.8928,0.9164
14,55,0.6002125144004822,0.6184203028678894,0.6015914082527161,0.6008445024490356,0.7365285754203796,0.7353594899177551,0.07843499243542526,0.03054069478589472,0.02521478558338264,0.011246848884258778,0.0028527976287589145,0.003514251996883116,160.64512634277344,122.1370849609375,128.5795440673828,0.6485337866553336,0.9167686658506732,0.9204545454545454,31.34577650670333,31.464671750704646,6.142648470138165,8.115580927929486,166.0,141.0,149.0,0.32058400000000004,0.32407800000000003,0.1996779538691044,0.06948000000000004,-0.0470799999999999,-0.040000000000000036,0.504,0.4912,0.2368,0.9096,0.9312
15,56,0.60054612159729,0.6217179894447327,0.6014335751533508,0.6012351512908936,0.7379059195518494,0.7328428626060486,0.09358032313719912,0.02004771044639123,0.011969822998389579,0.01435062997971448,0.004160185391991697,0.0025102331909331466,162.4806671142578,129.05810546875,118.883056640625,0.6179345516362091,0.9062181447502549,0.9474940334128878,37.86761656129979,29.5470571524872,5.284957747885038,3.104160239716074,101.0,137.0,135.0,0.324646,0.34387799999999996,0.18739168867468833,0.04039999999999999,-0.03484000000000009,-0.0492800000000001,0.4964,0.5036,0.14,0.9128,0.9184
16,57,0.6001288890838623,0.6192898154258728,0.6006382703781128,0.600614070892334,0.7330994009971619,0.7306308746337891,0.22378835327716093,0.028128181445557076,0.027182918184264392,0.03248497082114295,0.002497833102775943,0.002572465270752799,164.41580200195312,121.2701644897461,120.175537109375,0.6430412371134021,0.9257362355953905,0.939568345323741,39.74152040487142,29.872907541611095,2.912669327624219,2.122051636854866,101.0,164.0,162.0,0.315812,0.32442,0.18907276421785355,0.04256,-0.04187999999999997,-0.058560000000000056,0.4884,0.5028,0.1544,0.9248,0.9308
17,58,0.6003749966621399,0.621178925037384,0.6010007858276367,0.6001710891723633,0.7346349954605103,0.7255938649177551,0.2260959595199078,0.01669406801300551,0.011790662414077495,0.010071301581470583,0.0028654256159104004,0.011603682814372445,165.07296752929688,124.90105438232422,132.0819091796875,0.6187392055267703,0.9063157894736842,0.8861702127659574,44.307045536079876,42.25071500604956,8.45328284502439,8.679298914745301,101.0,146.0,141.0,0.32567999999999997,0.313448,0.20598653063178063,-0.012920000000000015,-0.044359999999999955,-0.05996000000000001,0.5248,0.5128,0.1132,0.9024,0.9292
18,59,0.5999437570571899,0.6200445294380188,0.6010156273841858,0.6006445288658142,0.7369375228881836,0.7304326891899109,0.11066371665175462,0.02539031051770472,0.019544730718688567,0.01270687753142311,0.006239595443147181,0.005063877517531648,163.47293090820312,126.46415710449219,129.03688049316406,0.5855348635773062,0.9012925969447708,0.9221311475409836,40.864061991020435,30.45732268046836,4.395789420603751,10.01016004328307,101.0,133.0,124.0,0.312322,0.33057000000000003,0.19065454676747323,0.0038000000000000256,-0.05384,-0.07439999999999997,0.4764,0.5344,0.1288,0.906,0.9396
19,60,0.598701536655426,0.6142585873603821,0.601017951965332,0.6007117033004761,0.730485737323761,0.7275632619857788,0.31605136436055536,0.015139525247531586,0.01934397717854759,0.05730436830782917,0.0033922754623450374,0.004399704170045661,171.73907470703125,120.12483215332031,128.518310546875,0.5980095196884465,0.9463087248322147,0.9245283018867925,26.45078210247228,30.561811305615542,2.75681221825549,8.106782135315603,101.0,172.0,174.0,0.331544,0.323506,0.19709792032837867,0.015120000000000022,-0.06219999999999992,-0.055960000000000065,0.4952,0.5204,0.2648,0.9036,0.9252
20,61,0.5981101393699646,0.6127468943595886,0.6013453006744385,0.6013374924659729,0.7384593486785889,0.7370620369911194,0.20114634230273037,0.012431590460507437,0.04410314283127498,0.026058696022632537,0.007130989580710146,0.002094227806023283,168.59078979492188,128.80210876464844,123.72148895263672,0.5646589902568645,0.9192037470725996,0.936374549819928,35.305882452555885,32.19671485796134,5.808077870121645,4.798598667525078,101.0,161.0,160.0,0.31825600000000004,0.32949400000000006,0.19296899147331714,0.013160000000000005,-0.04248000000000007,-0.06799999999999995,0.4876,0.4868,0.316,0.9196,0.93
21,62,0.5999187231063843,0.6197953224182129,0.6020874977111816,0.6009007692337036,0.7385940551757812,0.7320234775543213,0.08469895538599198,0.043539092697446664,0.01854565953968748,0.010066490025860575,0.0037919985487764696,0.005925144650909031,158.8074188232422,121.91244506835938,127.94251251220703,0.6192139737991267,0.9274193548387096,0.9045553145336226,42.4216120088573,41.504492116430384,5.385437135167575,4.579709935554403,150.0,125.0,123.0,0.31852800000000003,0.318988,0.19774746246635913,0.061480000000000035,-0.04848000000000002,-0.048960000000000004,0.5164,0.506,0.1992,0.8872,0.9236
22,63,0.599163293838501,0.617257833480835,0.6006734371185303,0.6005773544311523,0.7332815527915955,0.7294631600379944,0.12545780409849394,0.01259463261963242,0.012438552360618017,0.019978746615253035,0.013264684571920425,0.0035620691114382303,164.4544677734375,132.3874053955078,125.33003997802734,0.6032874278098623,0.9031476997578692,0.9332509270704573,28.745096840385262,30.50330478352621,2.805359469024237,7.473088046250539,101.0,151.0,151.0,0.325014,0.333598,0.1854994085431099,0.021639999999999965,-0.06268000000000012,-0.051120000000000054,0.4856,0.5052,0.2364,0.9316,0.9344
23,64,0.5991906523704529,0.6192187666893005,0.6004015803337097,0.6007211208343506,0.7306180596351624,0.7267712950706482,0.1627810565574805,0.018730783071507443,0.01641789969368022,0.012498372289897114,0.002927696346306129,0.004444030776696658,161.74459838867188,126.04306030273438,124.36752319335938,0.5852047556142669,0.9246411483253588,0.9242979242979243,41.416314887959714,33.78416332943725,1.9884084414394272,8.336317778496495,101.0,131.0,127.0,0.321102,0.33549,0.18851604409515857,0.010160000000000002,-0.022200000000000053,-0.05012,0.496,0.514,0.1632,0.9252,0.928
24,65,0.5993375182151794,0.6165679693222046,0.6011132597923279,0.6006484627723694,0.7435441613197327,0.7351329922676086,0.09986567777521549,0.020831610236023756,0.02231522862651967,0.017281428071822317,0.002269229481493683,0.013318793140351753,159.9857177734375,120.61127471923828,136.59934997558594,0.6140199048031155,0.9479768786127167,0.8864628820960698,25.956178929757275,41.40650081847538,-0.9707461278416563,7.614114612705965,162.0,131.0,128.0,0.322632,0.30911600000000006,0.21352178744971753,0.06464000000000003,-0.05164000000000002,-0.07203999999999999,0.5148,0.4824,0.2756,0.9268,0.9276
